state_region,wind_energy_mw,solar_energy_mw,other_res_mw,total_mw,cumulative_wind_mw,cumulative_solar_mw,cumulative_other_res_mw,cumulative_total_mw
 / Rajasthan,5.629999999999999,91.23,0.32,97.17999999999998,222.39999999999995,1383.13,6.909999999999999,1612.4399999999998
  / Uttar Pradesh,0.0,13.23,0.0,13.23,0.0,171.89999999999998,0.0,171.89999999999998
 / Uttarakhand,0.0,0.45,0.76,1.21,0.0,7.229999999999999,10.05,17.279999999999998
  / Northern Region ,5.629999999999999,108.87,10.03,124.52999999999996,222.39999999999995,1625.69,141.05000000000004,1989.14
 / Chhattisgarh,0.0,1.65,1.1,2.75,0.0,17.83,13.2,31.03
 / Gujarat,39.07999999999999,27.78,0.1,66.95999999999998,1092.68,456.08,0.7999999999999999,1549.5600000000002
  / Madhya Pradesh,4.3,11.769999999999998,1.8,17.869999999999997,93.7,126.32,19.6,239.62
 / Maharashtra,7.7,15.11,0.0,22.81,131.4,193.54999999999995,0.0,324.94999999999993
  / Western Region,51.07999999999999,56.31,3.0,110.39,1317.7800000000002,793.78,33.6,2145.16
  / Andhra Pradesh,11.87,10.43,0.0,22.3,182.82,221.43,0.0,404.25
 / Telangana,0.47,18.34,0.0,18.81,11.87,240.89,0.0,252.76
 / Karnataka,18.45,36.31999999999999,13.37,68.14,241.87,486.33,206.7,934.9
 / Kerala,0.23,1.19,0.0,1.42,2.22,18.8,0.0,21.02
  / Tamil Nadu,24.11,15.2,0.0,39.31,223.76,368.59,0.0,592.3499999999999
 / Puducherry,0.0,0.05,0.0,0.05,0.0,0.6100000000000001,0.0,0.6100000000000001
  / Southern Region,55.13,81.52999999999999,13.37,150.03,662.5400000000001,1336.65,206.7,2205.89
 / Bihar,0.0,0.63,0.0,0.63,0.0,7.691339999999999,0.0,7.691339999999999
/ Odisha,0.0,2.04,0.0,2.04,0.0,23.151234,0.0,23.151234
  / West Bengal,0.0,0.0,0.0,0.0,0.0,13.2,0.0,13.2
 / Eastern Region,0.0,2.67,0.0,2.67,0.0,44.042574,0.0,44.042574
 / Assam,0.0,0.78,0.0,0.78,0.0,10.251233999999998,0.0,10.251233999999998
 / Meghalaya ,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
 / Mizoram ,0.0,0.13,0.0,0.13,0.0,1.9513400000000003,0.0,1.9513400000000003
 / Tripura ,0.0,0.02,0.0,0.02,0.0,0.1512339999999999,0.0,0.1512339999999999
-   / North-Eastern Region,0.0,0.93,0.0,0.93,0.0,12.453808,0.0,12.453808
   / All India,111.83999999999996,178.86251072912162,20.664966039833857,322.44788727246555,2202.7200000000003,3195.187856305391,366.27716627181826,5748.910909279285
 / Delhi,0.0,0.0,1.84,1.84,0.0,0.0,45.510000000000005,45.510000000000005
 / Haryana,0.0,0.22,2.04,2.26,0.0,19.06,61.44,80.5
  / Himachal Pradesh,0.0,0.11,2.97,3.08,0.0,3.01,87.61999999999998,90.62999999999998
 / Punjab,0.0,1.84,1.67,3.51,0.0,89.35000000000001,47.73000000000003,137.08000000000004
 / Rajasthan,19.94,92.67,0.31,112.92,439.75,2642.07,12.830000000000002,3094.65
  / Uttar Pradesh,0.0,8.92,0.0,8.92,0.0,324.19,0.0,324.19
 / Uttarakhand,0.0,0.3,0.73,1.03,0.0,13.140000000000002,20.26,33.400000000000006
  / Northern Region ,19.94,104.06,9.56,133.55999999999997,439.75,3090.82,275.39000000000004,3805.96
